EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-12-22,57,51,45,54,50,45,100,90,67,29.93,29.84,29.76,10,7,2,13,7,,0.36,6,Rain,193
2015-12-23,64,58,52,57,54,50,97,91,78,29.87,29.70,29.52,10,9,2,16,10,32,0.69,6,Rain-Thunderstorm,153
2015-12-24,57,51,45,54,43,34,97,74,49,30.08,29.91,29.58,10,10,10,21,8,29,0.00,1,,214
2015-12-25,51,46,42,46,41,36,89,79,68,30.32,30.19,30.05,10,10,10,13,6,,0.00,3,,354
2015-12-26,59,50,44,57,48,36,100,90,71,30.32,30.15,30.00,10,7,2,12,8,,0.58,8,Rain,128
2015-12-27,66,52,37,63,49,34,100,93,82,30.29,30.03,29.88,10,8,2,25,11,50,0.52,8,Rain,29
2015-12-28,55,45,35,50,35,31,93,86,79,30.29,29.98,29.61,10,9,2,24,15,34,0.23,8,Rain,81
2015-12-29,54,46,37,53,42,31,97,83,71,30.20,29.90,29.66,10,8,2,23,11,32,0.27,8,Rain,235
2015-12-30,43,39,34,37,33,29,83,80,76,30.23,30.18,30.08,10,10,10,14,5,,0.00,8,,276
2015-12-31,34,32,30,30,27,23,92,84,75,30.32,30.26,30.19,10,8,1,14,8,18,0.00,8,Snow,281
2016-1-1,34,30,26,24,21,19,79,70,59,30.27,30.23,30.17,10,10,10,21,14,29,0.00,6,,253
2016-1-2,37,30,24,25,23,20,85,74,57,30.22,30.12,29.99,10,10,10,15,9,23,0.00,1,,226
2016-1-3,33,30,28,27,24,18,85,76,59,30.15,30.04,29.95,10,10,9,15,9,21,0.00,6,,288
2016-1-4,30,24,17,24,18,11,88,70,56,30.57,30.34,30.14,10,8,0,17,11,18,0.00,7,Fog-Snow,348
2016-1-5,28,20,12,10,9,6,84,62,38,30.69,30.60,30.51,10,10,10,8,4,,0.00,0,,131
2016-1-6,41,29,17,22,16,9,74,61,43,30.50,30.41,30.30,10,10,10,9,3,,0.00,0,,160
2016-1-7,45,33,21,23,18,15,81,59,35,30.29,30.20,30.10,10,10,10,8,2,,0.00,0,,136
2016-1-8,46,36,27,46,37,20,100,91,66,30.07,29.92,29.86,10,5,2,12,6,,0.14,7,Rain,155
2016-1-9,50,47,44,47,45,43,97,94,86,29.93,29.84,29.58,10,8,4,10,8,,0.08,6,Rain,166
2016-1-10,48,30,12,46,29,6,100,87,65,30.09,29.65,29.35,10,5,0,32,15,44,0.37,8,Fog-Rain-Snow,254
2016-1-11,25,16,9,17,7,3,80,72,62,30.22,30.10,29.91,10,10,5,18,13,25,0.00,6,Snow,223
2016-1-12,30,18,7,27,19,0,93,82,65,30.21,29.81,29.69,10,3,0,31,16,45,0.03,6,Fog-Snow,254
2016-1-13,24,12,1,14,4,-3,80,70,60,30.26,30.14,29.94,10,9,2,14,10,21,0.00,4,Snow,223
2016-1-14,45,35,25,35,26,14,76,70,63,29.94,29.88,29.79,10,10,10,14,9,21,0.00,2,,196
2016-1-15,46,42,39,39,32,28,97,70,48,29.78,29.59,29.47,10,9,4,13,10,,0.08,6,Rain,185
2016-1-16,41,36,30,39,28,20,97,83,66,29.94,29.76,29.49,10,8,3,20,13,31,0.00,8,Rain-Snow,278
2016-1-17,28,18,6,21,13,-3,81,72,62,30.16,29.95,29.86,10,7,2,23,13,33,0.00,7,Snow,277
2016-1-18,12,8,3,1,-1,-4,73,65,56,30.37,30.26,30.17,10,10,10,17,14,24,0.00,2,,271
2016-1-19,18,12,6,5,2,-3,76,65,52,30.54,30.48,30.36,10,10,10,14,8,,0.00,1,,258
2016-1-20,19,16,12,13,10,5,84,75,64,30.44,30.27,30.12,10,6,1,10,5,,0.00,7,Snow,88
2016-1-21,26,19,12,15,12,8,84,73,58,30.43,30.36,30.30,10,10,8,6,3,,0.00,3,,66
2016-1-22,27,22,17,17,14,10,84,68,55,30.29,30.11,29.97,10,10,8,22,10,30,0.00,6,Snow,41
2016-1-23,28,23,17,19,15,10,81,69,55,30.13,30.03,29.92,10,10,6,21,14,29,0.00,5,,2
2016-1-24,33,22,12,20,15,9,88,71,52,30.19,30.13,30.09,10,10,10,17,6,,0.00,0,,195
2016-1-25,44,34,25,29,22,17,72,59,43,30.13,30.02,29.87,10,10,10,15,8,,0.00,3,,167
2016-1-26,46,38,30,41,32,24,83,73,61,30.19,29.97,29.83,10,10,10,23,15,32,0.01,8,Rain,237
2016-1-27,30,26,21,22,18,16,85,71,61,30.32,30.22,30.08,10,10,10,14,10,24,0.00,4,,246
2016-1-28,43,32,21,32,25,17,85,71,53,30.06,29.79,29.67,10,10,9,20,11,26,0.00,4,,216
2016-1-29,34,30,26,31,22,17,92,74,54,30.02,29.85,29.69,10,8,1,22,11,28,0.01,6,Snow,301
2016-1-30,59,44,28,34,28,20,69,55,39,29.95,29.84,29.72,10,10,10,21,12,26,0.00,0,,185
2016-1-31,60,53,46,49,42,33,72,62,52,29.81,29.73,29.65,10,10,10,18,11,28,0.00,7,,195
2016-2-1,54,44,30,49,35,29,92,77,56,30.14,29.95,29.73,10,10,7,20,10,25,0.00,5,Rain,324
2016-2-2,55,40,26,51,36,24,96,77,52,30.20,29.97,29.67,10,9,4,21,9,26,0.32,3,Rain-Thunderstorm,107
2016-2-3,60,48,37,55,47,29,96,79,39,30.02,29.70,29.59,10,9,2,26,16,38,0.48,5,Rain,212
2016-2-4,36,31,26,30,23,16,85,74,63,30.33,30.20,30.04,10,10,8,16,12,21,0.00,8,Snow,283
2016-2-5,39,29,19,21,18,15,88,63,43,30.45,30.38,30.33,10,10,10,13,6,17,0.00,2,,217
2016-2-6,41,32,24,25,20,17,88,63,38,30.36,30.30,30.22,10,9,4,13,6,,0.00,0,,231
2016-2-7,51,38,26,28,23,20,84,56,36,30.22,30.01,29.78,10,10,10,21,6,26,0.00,1,,190
2016-2-8,42,36,30,35,32,28,100,89,58,29.76,29.63,29.58,10,6,0,15,6,21,0.17,8,Fog-Rain-Snow,290
2016-2-9,30,26,21,28,22,15,92,85,78,29.86,29.69,29.60,10,4,1,17,13,25,0.01,8,Snow,267
2016-2-10,19,16,12,13,10,4,84,75,65,30.12,29.95,29.85,10,5,1,21,15,28,0.00,8,Snow,258
2016-2-11,19,12,6,12,7,2,84,72,57,30.35,30.26,30.12,10,10,2,13,8,,0.00,6,Snow,274
2016-2-12,24,17,10,19,12,6,89,73,53,30.31,30.14,30.03,10,7,1,25,9,37,0.00,6,Snow,272
2016-2-13,14,8,3,7,0,-7,76,64,49,30.54,30.44,30.22,10,9,4,17,13,25,0.00,3,Snow,297
